"pacSelector","kind","owner","principalId","lastChange","category","displayName","id"
"epac-dev","Exemption(active)","thisPaC","n/a","n/a","Waiver","exem-dev-sandbox","/providers/Microsoft.Management/managementGroups/dev-sandbox/providers/Microsoft.Authorization/policyExemptions/dev-sandbox-001"
"epac-prod","Policy","thisPaC","a9ca110b-93e0-45ae-9e07-3436b7b40caa","2024-06-12T08:08:54","App Configuration","JASL-Configure App Configuration to disable public network access","/providers/Microsoft.Management/managementGroups/epac-prod/providers/Microsoft.Authorization/policyDefinitions/73290fa2-dfa7-4bbb-945d-a5e23b75df2c"
"epac-prod","Policy","thisPaC","a9ca110b-93e0-45ae-9e07-3436b7b40caa","2024-06-12T08:08:53","Databases","MSS Disable localAuth jasl.","/providers/Microsoft.Management/managementGroups/epac-prod/providers/Microsoft.Authorization/policyDefinitions/MSS-disable-localAuth-jasl"
"epac-prod","Policy","thisPaC","a9ca110b-93e0-45ae-9e07-3436b7b40caa","2024-06-12T08:08:53","Cosmos DB","bs-aps-DenyEncryptInTransitSSLEnforced","/providers/Microsoft.Management/managementGroups/epac-prod/providers/Microsoft.Authorization/policyDefinitions/bs-aps-DenyEncryptInTransitSSLEnforced"
"epac-prod","Policy","thisPaC","a9ca110b-93e0-45ae-9e07-3436b7b40caa","2024-06-12T08:08:54","Cosmos DB","CDB Disable localAuth jasl","/providers/Microsoft.Management/managementGroups/epac-prod/providers/Microsoft.Authorization/policyDefinitions/cdb-disable-localAuth-jasl"
"epac-prod","Policy Set","thisPaC","df023ee0-85e7-4c04-8f24-05adb52924c4","2024-06-17T15:33:58","Key Vault","Guardrails-AKV-Security-CIS2.0","/providers/Microsoft.Management/managementGroups/epac-prod/providers/Microsoft.Authorization/policySetDefinitions/Guardrails-AKV-Security-CIS2.0"
"epac-prod","Assignment(Policy-Custom)","thisPaC","df023ee0-85e7-4c04-8f24-05adb52924c4","2024-06-12T16:27:36","Custom","bs-aps-DenyEncryptInTransitSSLEnforced Assign","/providers/Microsoft.Management/managementGroups/epac-prod/providers/Microsoft.Authorization/policyAssignments/Assign-EncrypSSL-Rafa"
"epac-prod","Assignment(Policy-Custom)","thisPaC","a9ca110b-93e0-45ae-9e07-3436b7b40caa","2024-06-12T08:08:55","","jasl-epac-Assign App Configuration to disable public network access","/providers/Microsoft.Management/managementGroups/epac-prod/providers/Microsoft.Authorization/policyAssignments/jasl-epac-Assign App"
"epac-prod","Assignment(Policy-Custom)","thisPaC","a9ca110b-93e0-45ae-9e07-3436b7b40caa","2024-06-12T08:08:54","Custom","CDB Disable localAuth jasl Assign","/providers/Microsoft.Management/managementGroups/epac-prod/providers/Microsoft.Authorization/policyAssignments/cdb-disab-locAuth-jasl"
"epac-prod","Assignment(PolicySet-Custom)","thisPaC","df023ee0-85e7-4c04-8f24-05adb52924c4","2024-06-17T15:33:59","Key Vault","Enforce-Guardrails-AKV-assignment-to-scc-root-foundation","/providers/Microsoft.Management/managementGroups/epac-prod/providers/Microsoft.Authorization/policyAssignments/Enforce-Guard-AKV-CIS2.0"
